Video;Date;Views
Informatik 1: Session 1 - Installation of Python and Setup;Oct 9, 2020;547
Informatik 1: Session 2 - Basics;Oct 13, 2020;425
Informatik 1: Session 3 - Lists, For, While, Range;Oct 15, 2020;250
Informatik 1: Session 4 - Functions, Tuples and Sets;Oct 21, 2020;416
Informatik 1: Session 5 - Dictionaries, File I/O and Codingstandard;Oct 21, 2020;338
Informatik 1: Session 6 - error messages, how to read testreports, Ass1 Q&A;Oct 25, 2020;165
Informatik 1: Session 7 - Names, Variables, Scope, Namespace and Pythontutor;Oct 28, 2020;139
Informatik 1: Session 8 - Error handling, Built-Ins, Import, PIP;Oct 29, 2020;159
Informatik 1: Session 9 - Imports, PIP, How to approach tasks;Oct 31, 2020;147
Informatik 1: Session 10 - numpy;Nov 4, 2020;122
Informatik 1: Lecture 3;Oct 20, 2020;178
Informatik 1: Lecture 4;Oct 27, 2020;136
Informatik 1: Lecture 5;Nov 3, 2020;92